;Company;Symbol;ISIN;WKN
91;DK DAX EX FINANCIALS 30;ELF0;DE000ETFL433;000ETFL43
92;COMSTAGE 1-DAX UCIT.ETF I;E901;DE000ETF9017;000ETF901
93;COMSTAGE 1-DIVDAX U.ETF I;E903;DE000ETF9033;000ETF903
94;ISHARES DIVDAX UCITS ETF;EXSB;DE0002635273;263527
95;ISHS CORE DAX UCITS ETF;EXS1;DE0005933931;593393
96;LY.D.SHORTDAX X2 UETF A;LYQL;FR0010869495;000LYX0FV
97;MUL-LYXOR DAX DR UC.ETF A;LYY7;LU0252633754;000LYX0AC
98;MUL-LYX.DLY.LEVDAX U.E. A;LYY8;LU0252634307;000LYX0AD
99;XTR.DAX 1C;DBXD;LU0274211480;000DBX1DA
100;XTR.SHORTDAX DAILY SW. 1C;DXSN;LU0292106241;000DBX1DS
101;COMSTAGE-DAX UCITS ETF I;C001;LU0378438732;000ETF001
102;XTR.SHORTDAX X2 DA.SW. 1C;DBPD;LU0411075020;000DBX0BY
103;XTR.LEVDAX DA.SWAP 1C;DBPE;LU0411075376;000DBX0BZ
104;COMST.-FR DAX UCITS ETF I;C002;LU0488317024;000ETF002
105;COMSTAGE-DIVDAX U.ETF I;C003;LU0603933895;000ETF003
106;COMST.-SH.DAX TR U.ETF I;C004;LU0603940916;000ETF004
107;XTR.DAX INCOME 1D;XDDX;LU0838782315;000DBX0NH
108;COMST.-LEVDAX X2 UC.ETF I;E043;LU1104579369;000ETF043
109;FINLAB AG   NA O.N.;A7A;DE0001218063;121806
110;B+S BANKSYSTEME AG O.N.;DTD2;DE0001262152;126215
111;VIB VERMOEGEN O.N.;VIH;DE0002457512;245751
112;BAVARIA INDS GRP   O.N.;B8A;DE0002605557;260555
113;ISHARES PFANDBRIEFE U.ETF;EXHE;DE0002635265;263526
114;ISH.S.EU.SEL.DIV.30 U.ETF;EXSH;DE0002635299;263529
115;ISH.STOX.EUROPE 600 U.ETF;EXSA;DE0002635307;263530
116;GERRY WEBER INTERNAT.O.N.;GWI1;DE0003304101;330410
117;ADLER REAL ESTATE AG;ADL;DE0005008007;500800
118;AAP IMPLANTATE AG;AAQ;DE0005066609;506660
119;BAADER BANK AG;BWB;DE0005088108;508810
120;UTD.INTERNET AG NA;UTDI;DE0005089031;508903
121;AMADEUS FIRE AG;AAD;DE0005093108;509310
122;BASLER AG O.N.;BSL;DE0005102008;510200
123;ADVA OPT.NETW.SE  O.N.;ADV;DE0005103006;510300
124;ATOSS SOFTWARE AG;AOF;DE0005104400;510440
125;SYZYGY AG O.N.;SYZ;DE0005104806;510480
126;ALL FOR ONE STEEB NA O.N.;A1OS;DE0005110001;511000
127;ZOOPLUS AG;ZO1;DE0005111702;511170
128;11 88 0 SOLUTIONS AG;TGT;DE0005118806;511880
129;QSC AG NA O.N.;QSC;DE0005137004;513700
130;DEUTSCHE BANK AG NA O.N.;DBK;DE0005140008;514000
131;SINNERSCHRADER O.N.;SZZ;DE0005141907;514190
132;DELTICOM AG  NA O.N.;DEX;DE0005146807;514680
133;GIGASET AG O.N.;GGS;DE0005156004;515600
134;SCHWEIZER ELECTR. NA O.N.;SCE;DE0005156236;515623
135;DR. HOENLE AG O.N.;HNL;DE0005157101;515710
136;BECHTLE AG O.N.;BC8;DE0005158703;515870
137;3U HOLDING AG;UUU;DE0005167902;516790
138;BAUER AG;B5A;DE0005168108;516810
139;SURTECO SE;SUR;DE0005176903;517690
140;SOFTING AG O.N.;SYT;DE0005178008;517800
141;BAY.MOTOREN WERKE AG ST;BMW;DE0005190003;519000
142;BAY.MOTOREN WERKE  VZO;BMW3;DE0005190037;519003
143;BAYWA AG NA.;BYW;DE0005194005;519400
144;BAYWA AG VINK.NA. O.N.;BYW6;DE0005194062;519406
145;J.F.BEHRENS AG O.N.;JFB;DE0005198907;519890
146;LUDW.BECK A.RATHAUSECK;ECK;DE0005199905;519990
147;BEIERSDORF AG O.N.;BEI;DE0005200000;520000
148;BERENTZEN-GRP.AG;BEZ;DE0005201602;520160
149;QUIRIN PRIVATBK  O.N.;QB7;DE0005202303;520230
150;B.R.A.I.N. NA;BNN;DE0005203947;520394
151;ARTEC TECHNOLOGIES O.N.;A6T;DE0005209589;520958
152;MOBOTIX AG O.N.;MBQ;DE0005218309;521830
153;ENBW ENERGIE BAD.-WUE. ON;EBK;DE0005220008;522000
154;NEXUS AG O.N.;NXU;DE0005220909;522090
155;BIOTEST AG ST O.N.;BIO;DE0005227201;522720
156;BIOTEST AG VZ O.N.;BIO3;DE0005227235;522723
157;ORBIS AG O.N.;OBS;DE0005228779;522877
158;BIJOU BRIGITTE O.N.;BIJ;DE0005229504;522950
