;Company;Symbol
174;Amer Natl Insurance;ANAT
175;Anchor Bancorp;ANCB
176;Access National Corp;ANCX
177;Andina Acq Cp Ord Sh;ANDA
178;Andina Acq Cp Rt;ANDAR
179;Andina Acq Cp WT;ANDAW
180;Andersons Inc;ANDE
181;Homeservices Inc;ANGI
182;Angiodynamics Inc;ANGO
183;Anika Therapeutics;ANIK
184;ANI Pharma Inc;ANIP
185;Ansys Inc;ANSS
186;Anthera Pharmaceutic;ANTH
187;Sphere 3D Corp;ANY
188;American Outdoor Brands Corp;AOBC
189;Alpha and Omega Semi;AOSL
190;Applied Dna Scns;APDN
191;Applied Dna Sci Wrnt;APDNW
192;American Pub. Edu.;APEI
193;Apollo Endosurgery Inc;APEN
194;Archrock Partners LP;APLP
195;Apellis Pharmaceuticals Inc;APLS
196;Apogee Entrpr Inc;APOG
197;Cellect Biotechnology Ltd;APOP
198;Cellect Biotechnology Ltd;APOPW
199;Appfolio Cl A;APPF
200;Appian Corporation Class A;APPN
201;Digital Turbine;APPS
202;Apricus Biosc Inc;APRI
203;Apptio Inc;APTI
204;Aptose Bioscns;APTO
205;Aptevo Therapeutics Inc;APVO
206;Asia Pacific Wire & Cable;APWC
207;Aquabounty Technologies Inc;AQB
208;Aqua Metals Inc;AQMS
209;Aquinox Pharmaceutic;AQXP
210;Accuray Incorporated;ARAY
211;Arcbest Corp;ARCB
212;Ares Capital Corp;ARCC
213;Applnc Rcycl Ct Amer;ARCI
214;Arcturus Therapeutics Ltd;ARCT
215;Arc Group Worldwide;ARCW
216;Aradigm Corp;ARDM
217;Ardelyx Inc;ARDX
218;Approach Res. Inc;AREX
219;Argos Therapeutics;ARGS
220;Argenx Se Ads;ARGX
221;American Railcar Ind;ARII
222;Ark Restaurants Cp;ARKR
223;Alliance Resource Pt;ARLP
224;Aralez Pharm Inc;ARLZ
225;Armo Biosciences Inc.;ARMO
226;Arena Pharmaceutical;ARNA
227;Arrow Financial Corp;AROW
228;Arqule Inc;ARQL
229;Arris Group Inc;ARRS
230;Array Biopharma Inc;ARRY
231;Artesian Res Cp A;ARTNA
232;Art S Way MFG Co I;ARTW
233;Arotech Corp;ARTX
234;Arrowhead Pharma;ARWR
235;Ascent Capital Group;ASCMA
236;Flexshares Real Assets Allocation Index Fund;ASET
237;Asta Funding Inc;ASFI
238;Assembly Biosciences;ASMB
239;Asml Hldg NY Reg;ASML
240;Ascena Retail Grp;ASNA
241;Ascendis Pharma Ads;ASND
242;Arsanis Inc;ASNS
243;Altisource Portfolio;ASPS
244;Aspen Group Inc;ASPU
245;Ameriserv Financial;ASRV
246;Ameriserv Fin Cap;ASRVP
247;Astrotech Corp;ASTC
248;Astec Inds Inc;ASTE
249;Asure Software;ASUR
250;Asv Holdings Inc;ASV
251;Amtech Systems Inc;ASYS
252;Atlantic Acquisition Corp;ATAC
253;Atlantic Acquisition Corp Right;ATACR
254;Atlantic Acquisition Corp Unit;ATACU
255;Ata Inc ADR;ATAI
256;Amer First Mf Inv;ATAX
257;Alphatec Holdings;ATEC
258;Athenahealth Inc;ATHN
259;Athersys Inc;ATHX
260;Atlanticus Hldg Cp;ATLC
261;Ames Natl Corp;ATLO
262;Atn International;ATNI
263;Athenex Inc;ATNX
264;Atomera Inc;ATOM
265;Atossa Genetics Inc;ATOS
266;Atara Biotherap;ATRA
267;Atricure Inc;ATRC
268;Atrion Corp;ATRI
269;Astronics Cp;ATRO
270;Antares Pharma;ATRS
271;Air Transport;ATSG
272;Attunity Ltd;ATTU
273;Activision Blizzard;ATVI
274;Avenue Therapeutics Inc;ATXI
275;Auburn Natl Bncp I;AUBN
276;Audiocodes Ltd;AUDC
277;Aurinia Pharm Ord;AUPH
278;Autoweb Inc;AUTO
279;Aerovironment Inc;AVAV
280;Avadel Pharmaceuticals Plc;AVDL
281;Aveo Pharmaceuticals;AVEO
282;Broadcom Ltd;AVGO
283;Avinger Inc;AVGR
284;A V Homes Inc;AVHI
285;Avid Tech Inc;AVID
286;Aviat Networks Inc;AVNW
287;Anavex Lf SC;AVXL
288;Avexis Inc;AVXS
289;Aware Inc;AWRE
290;Abraxas Petro Corp;AXAS
291;Accelerate Diagnosti;AXDX
292;Axogen Inc;AXGN
293;Axovant Sciences Ltd;AXON
294;Axsome Thera;AXSM
295;Axt Inc;AXTI
296;Atlantica Yield Plc;AY
297;Aytu Bioscience Inc;AYTU
298;Aspen Technology;AZPN
299;Azurrx Biopharma Inc;AZRX
300;Natus Medical Inc;BABY
301;Bandwidth Inc;BAND
302;Bancfirst Corp;BANF
303;Bfc Capital Trust II;BANFP
304;Banner Corp;BANR
305;Stonecastle Fncl Cp;BANX
306;Bioanalytical Syst;BASI
307;Liberty Braves CS A;BATRA
308;Liberty Braves CS C;BATRK
309;Bed Bath & Beyond;BBBY
310;Beasley Brdcst Gr;BBGI
311;Biotech Vaneck ETF;BBH
312;Black Box Cp;BBOX
313;Bravo Brio Restauran;BBRG
314;Barrett Business S;BBSI
315;Bison Capital Acquistion Corp Ordinary Shares;BCAC
316;Bison Capital Acquistion Corp Rights;BCACR
317;Bison Capital Acquisition Corp Unit;BCACU
318;Bison Capital Acquistion Corp Warrant;BCACW
319;Bcb Bancorp Inc;BCBP
320;Brainstorm Cell;BCLI
321;B Communications Ltd;BCOM
322;Blucora Inc;BCOR
323;Brightcove Inc;BCOV
324;Balchem Cp;BCPC
325;Biocryst Pharma Inc;BCRX
326;Bancorp 34 Inc;BCTF
327;Bridge Bancorp Inc;BDGE
328;Biodelivery Sci Intl;BDSI
329;Biotelemetry Inc;BEAT
330;Beacon Roofing Suppl;BECN
331;Bel Fuse Cl A;BELFA
332;Bel Fuse Inc Cl B;BELFB
333;Bankfinancial Corpor;BFIN
334;G-X Health & Wellness Thematic Et;BFIT
335;Biofrontera Ag ADR;BFRA
336;Bgc Partners Cl A;BGCP
337;Big 5 Sporting;BGFV
338;Beigene Ltd Ads;BGNE
339;Barington/Hilco Acq;BHAC
340;Barington/Hilco Rgts;BHACR
341;Barington/Hilco Wts;BHACW
342;Blue Hills Bancorp;BHBK
343;Brighthouse Financial Inc;BHF
344;Ultra Nasdaq Biotech Proshares;BIB
345;BICK Index Fund FT;BICK
346;Baidu Inc;BIDU
347;Biogen Inc;BIIB
348;Biocept Inc;BIOC
349;Biolase Inc;BIOL
350;Bioscrip Inc;BIOS
351;Ultrashort Biotechnology Proshares;BIS
352;Bioverativ Inc;BIVV
353;Bj's Restaurants Inc;BJRI
354;Blackrock Cptl Invt;BKCC
355;Blueknight Energy LP;BKEP
356;Blueknight Srs A Uts;BKEPP
357;Booking Holdings Inc.;BKNG
358;Bank of So Car Cp;BKSC
359;Bio-Key Intl Inc;BKYI
360;Blackline Inc;BL
361;Blue Bird Corp;BLBD
362;Bellicum Pharma Comm;BLCM
363;Reality Shares Nasdaq Nextgen Economy ETF;BLCN
364;Ballard Power Sys;BLDP
365;Builders Firstsource;BLDR
366;Biolife Solutions;BLFS
367;Bridgeline Digital;BLIN
368;Blackbaud Inc;BLKB
369;Bloomin' Brands Inc;BLMN
370;Bsb Bancorp Inc;BLMT
371;Blink Charging Co;BLNK
372;Blink Charging Co. Warrant;BLNKW
373;Bellerophon Ther Com;BLPH
374;Biolinerx Ltd;BLRX
375;Bluebird Bio;BLUE
376;Bmc Stock Holdings;BMCH
377;Bank of Montreal BMO Elkhorn DWA MLP Select;BMLP
378;Biomerica Inc;BMRA
379;Bank of Marin Bancrp;BMRC
380;Biomarin Pharmaceut;BMRN
381;Bryn Mawr Bank Corp;BMTC
382;Beneficial Bancorp;BNCL
383;Total Intl Bond ETF Vanguard;BNDX
384;Benefitfocus;BNFT
385;Bonso Elec Intl In;BNSO
386;Benitec Biopharm Ads;BNTC
387;Benitec Biopharm Wrt;BNTCW
388;Bank of Commerce Hld;BOCH
389;Bofi Holding Inc;BOFI
390;Bofi Hld Sub Not;BOFIL
391;Bojangles Inc CS;BOJA
392;Bok Financial Corp;BOKF
393;Bok Financial Corp;BOKFL
394;Audentes Therapeutics Inc;BOLD
395;Boston Omaha Corporation Class A;BOMN
396;Dynamic Materials;BOOM
397;Bos Better Online;BOSC
398;Bank of The Jame Fnl;BOTJ
399;G-X Robotics & Artificial Intel Thmtc ETF;BOTZ
400;Boxlight Corporation Class A;BOXL
401;Boston Pvt Finl Hldg;BPFH
402;Boston Private Dep S;BPFHP
403;Boston Private Wts;BPFHW
404;Blueprint Medi Cm ST;BPMC
405;Popular Inc;BPOP
406;Popular Inc Trust II;BPOPM
407;Popular Inc Trust I;BPOPN
408;Bank of Princeton;BPRN
409;Bio-Path Holdings;BPTH
410;Brookfield Property Partners L;BPY
411;Black Ridge Acquisition Corp;BRAC
412;Black Ridge Acquisition Corp Right;BRACR
413;Black Ridge Acquisition Corp Unit;BRACU
414;Black Ridge Acquisition Corp Warrant;BRACW
415;Craft Brew Alliance;BREW
416;Bridgford Foods Cp;BRID
417;Brookline Bancorp;BRKL
418;Bruker Corp;BRKR
419;Brooks Automation;BRKS
420;Big Rock Partners Acquisition Corp;BRPA
421;Big Rock Partners Acquisition Corp Right;BRPAR
422;Big Rock Partners Acquisition Corp Unit;BRPAU
423;Big Rock Partners Acquisition Corp Warrant;BRPAW
424;Borqs Technologies Inc;BRQS
425;Bassett Furniture;BSET
426;Bear State Fin Inc;BSF
427;Biostar Pharmaceutic;BSPM
428;Bsquare Corp;BSQR
429;Sierra Bancorp;BSRR
430;Biospecifics Tech Cp;BSTC
431;Bioxcel Therapeutics Inc.;BTAI
432;Principal Healthcare Innovators Index;BTEC
433;Blue Buffalo Pet;BUFF
434;Burcon Nutrascience;BUR
435;Chanticleer Hldgs;BURG
436;First Busey Corp;BUSE
437;Brandes Investment Trust Brandes Value Nextshare;BVNSC
438;Broadvision Inc;BVSN
439;Biondvax Pharma Ads;BVXV
440;Biondvax Pharma WT;BVXVW
441;Broadwind Energy Inc;BWEN
